__label__1 , Wie geht es dir
__label__1 , Wie geht
__label__1 , Laeuft es bei dir
__label__1 , Laeuft es bei dir
__label__1 , Was ist los
__label__1 , Etwas neues
__label__2 , Wo hast du Urlaub gemacht
__label__2 , Wo gehst du zum Urlaub
__label__2 , Ich war in Rom für Urlaub
__label__2 , Ich reise gerne
__label__2 , Ich reise gerne nach Spanien
__label__2 , Wo moechtest du reisen
__label__3 , Wie war Fussball gestern
__label__3 , Bayern Muenchen
__label__3 , Was von Sport machst du
__label__3 , Ich spiele bei einem Mannschaft
__label__3 , Fussball ist eine der bekanntesten Sportarten weltweit.
__label__3 , Die Bundesliga ist eine der erfolgreichsten Ligen Europas.
